Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2,cluster
84142.0,68,68.23,0,3,2,0,0,1237.3824,2
84150.0,40,69.82,0,3,2,0,0,2103.75,2
84200.0,65,66.46,0,1,2,0,0,1295.3846,2
84488.0,125,10.78,0,2,3,1,1,675.904,0
84742.0,52,42.99,0,3,2,1,1,1629.6538,1
85257.0,73,23.8,1,2,3,1,0,1167.9041,0
85435.0,84,34.87,0,3,2,1,1,1017.0833,1
85490.88,82,31.6,0,1,2,1,1,1042.5717,1
85644.22,40,67.32,0,3,2,0,1,2141.1055,2
86123.23,56,36.71,1,0,2,1,0,1537.9148,1
86535.89,135,7.38,1,2,3,1,0,641.0066,0
86872.89,73,31.66,1,1,2,1,0,1190.0396,1
87146.0,50,42.3,1,2,2,0,0,1742.92,2
87146.0,58,54.52,1,2,2,0,0,1502.5172,2
87146.0,56,33.1,1,1,2,0,0,1556.1786,2
87146.0,80,33.99,0,3,2,1,0,1089.325,1
87146.76,70,39.91,1,2,2,0,0,1244.9537,2
87146.76,70,32.39,1,1,2,0,1,1244.9537,2
87146.76,40,41.86,1,1,2,0,0,2178.669,2
87146.76,68,9.65,1,2,2,1,0,1281.57,1
87147.0,48,43.03,1,1,2,0,0,1815.5625,2
87147.0,40,42.3,0,3,2,0,0,2178.675,2
87237.0,55,39.8,1,1,2,0,0,1586.1273,2
87520.16,76,25.06,1,2,2,1,1,1151.5811,1
87606.84,105,27.05,0,0,3,1,0,834.3509,0
88349.0,69,32.68,1,0,2,0,1,1280.4203,2
88474.45,105,17.36,1,0,3,1,1,842.6138,0
90000.0,55,23.69,0,2,2,1,0,1636.3636,1
90000.0,56,40.57,0,0,2,1,0,1607.1429,1
90000.0,56,40.63,0,0,2,1,0,1607.1429,1
90000.0,70,33.45,0,1,2,1,0,1285.7143,1
90000.0,50,41.92,1,1,2,0,0,1800.0,2
90000.0,79,38.76,0,3,2,0,0,1139.2405,2
90000.0,89,67.52,0,3,2,1,0,1011.236,1
90000.0,84,29.33,1,0,2,1,1,1071.4286,1
90000.0,66,52.25,0,1,2,1,0,1363.6364,1
90000.0,65,54.02,0,1,2,0,0,1384.6154,2
90000.0,79,29.51,1,0,3,1,1,1139.2405,0
90000.0,80,29.95,1,0,3,1,1,1125.0,0
90151.0,82,33.94,0,3,3,1,0,1099.4024,0
90151.81,72,37.47,1,3,2,1,0,1252.1085,1
90151.81,82,27.97,1,0,2,1,0,1099.4123,1
90151.82,55,8.86,0,0,2,1,1,1639.124,1
90151.82,55,38.87,1,3,2,1,0,1639.124,1
90151.82,62,23.68,1,2,2,1,1,1454.0616,1
90151.82,89,31.76,0,3,2,0,0,1012.9418,2
90151.82,65,37.88,0,3,2,1,0,1386.9511,1
90151.82,64,37.95,1,3,2,0,0,1408.6222,2
90151.82,65,41.86,1,3,2,0,0,1386.9511,2
90151.82,78,40.09,0,0,2,0,0,1155.7926,2
90152.0,66,41.33,1,0,2,0,0,1365.9394,2
90152.0,56,34.53,0,2,2,0,0,1609.8571,2
90200.0,83,28.95,1,0,2,0,0,1086.747,2
90400.0,86,27.06,1,0,3,1,1,1051.1628,0
91100.0,68,36.92,0,3,2,0,0,1339.7059,2
92000.0,65,34.78,0,3,2,1,0,1415.3846,1
92560.0,84,34.83,0,0,3,1,1,1101.9048,0
93156.0,80,36.87,0,0,2,0,0,1164.45,2
93156.0,50,40.38,1,0,2,0,0,1863.12,2
93156.88,48,23.76,0,2,2,1,0,1940.7683,1
93156.88,58,32.72,0,3,2,1,1,1606.1531,1
93157.0,78,33.01,1,3,2,0,1,1194.3205,2
93157.0,70,78.75,0,3,2,0,0,1330.8143,2
93177.11,40,41.11,1,0,2,0,0,2329.4277,2
93200.0,64,38.92,1,1,2,0,0,1456.25,2
93900.0,48,34.72,1,0,2,0,0,1956.25,2
94861.31,95,19.34,0,0,2,1,1,998.5401,1
94902.12,82,26.47,1,0,2,1,0,1157.3429,1
94960.0,50,41.23,1,1,2,0,0,1899.2,2
95161.77,71,38.3,1,0,2,1,0,1340.3066,1
95310.0,64,36.76,0,2,2,1,0,1489.2188,1
95500.0,84,24.82,0,2,2,1,1,1136.9048,1
95716.0,63,36.85,1,3,2,0,0,1519.3016,2
96000.0,48,39.78,1,0,2,0,0,2000.0,2
96000.0,58,56.05,0,2,2,0,0,1655.1724,2
96000.0,59,41.25,1,0,2,1,0,1627.1186,1
96000.0,78,31.02,1,2,2,1,1,1230.7692,1
96000.0,135,35.83,0,3,3,1,0,711.1111,0
96160.0,56,34.11,0,1,2,1,0,1717.1429,1
96160.0,76,36.22,0,3,2,1,0,1265.2632,1
96161.0,50,41.86,1,0,2,0,0,1923.22,2
96161.0,79,29.49,1,0,2,1,1,1217.2278,1
96161.93,59,41.99,1,3,2,1,0,1629.8632,1
96161.94,50,41.55,1,2,2,0,0,1923.2388,2
96161.94,78,25.13,0,2,2,1,1,1232.8454,1
96162.0,60,43.67,1,0,2,0,0,1602.7,2
96162.0,72,41.04,0,3,2,1,0,1335.5833,1
96163.0,50,41.03,1,2,2,0,0,1923.26,2
96173.0,63,34.78,1,1,2,0,0,1526.5556,2
96300.0,64,40.38,1,0,2,0,0,1504.6875,2
96500.0,50,41.05,1,3,2,0,0,1930.0,2
97373.0,55,31.95,1,0,2,0,0,1770.4182,2
97545.21,63,37.2,0,2,2,0,0,1548.3367,2
97664.47,50,40.59,0,0,2,0,0,1953.2894,2
97664.5,91,27.72,0,0,3,1,1,1073.2363,0
97837.79,95,4.95,0,0,2,1,0,1029.8715,1
97985.22,50,41.31,1,2,2,0,0,1959.7044,2
98000.0,69,37.66,1,1,2,0,0,1420.2899,2
98165.7,72,35.41,0,2,2,0,0,1363.4125,2
98566.0,82,31.55,0,1,3,1,1,1202.0244,0
98576.0,61,44.17,1,1,2,0,0,1616.0,2
99167.0,40,22.11,0,2,2,1,1,2479.175,3
99167.0,52,36.33,0,1,2,0,0,1907.0577,2
99167.0,75,33.02,1,3,2,1,1,1322.2267,1
99167.0,115,40.03,1,0,3,1,0,862.3217,0
99167.07,79,29.32,1,3,2,1,1,1255.2794,1
99765.0,65,26.8,0,0,2,1,0,1534.8462,1
100000.0,95,13.94,0,2,3,1,0,1052.6316,0
100369.0,78,37.11,1,1,2,0,0,1286.7821,2
100369.0,80,28.96,1,0,2,1,0,1254.6125,1
100669.0,82,37.73,1,3,2,0,0,1227.6707,2
100800.0,83,26.68,1,0,2,1,1,1214.4578,1
100933.79,86,28.93,0,0,2,1,1,1173.6487,1
102000.0,55,33.94,0,0,2,0,0,1854.5455,2
102000.0,55,39.8,1,0,2,0,0,1854.5455,2
102000.0,75,30.48,1,1,2,1,0,1360.0,1
102000.0,65,34.22,0,1,2,0,0,1569.2308,2
102080.0,50,41.67,1,0,2,0,0,2041.6,2
102170.0,63,31.67,1,1,2,1,0,1621.746,1
102172.0,50,42.09,1,0,2,0,0,2043.44,2
102172.0,105,44.33,1,3,2,0,0,973.0667,2
102172.0,65,36.92,1,0,2,1,0,1571.8769,1
102172.0,64,36.85,0,1,2,0,0,1596.4375,2
102172.05,58,36.5,0,3,2,1,0,1761.5871,1
102172.05,68,37.13,0,3,2,0,0,1502.5301,2
102172.06,62,40.94,1,0,2,0,0,1647.9365,2
102172.06,58,34.8,0,2,2,1,0,1761.5872,1
102172.06,55,34.83,0,2,2,0,0,1857.6738,2
102172.06,74,34.28,0,2,2,0,0,1380.7035,2
102172.06,75,35.36,0,1,2,0,0,1362.2941,2
102172.18,79,38.05,1,3,2,1,0,1293.3187,1
102178.0,50,42.2,1,0,2,0,0,2043.56,2
102230.0,64,35.41,0,3,2,1,0,1597.3438,1
103390.0,89,39.56,1,3,2,0,0,1161.6854,2
103800.0,52,41.94,1,0,2,0,0,1996.1538,2
104576.0,91,63.45,0,3,2,0,0,1149.1868,2
105177.0,50,41.67,1,0,2,0,0,2103.54,2
105177.0,59,41.34,1,2,2,0,0,1782.661,2
105177.0,50,41.82,1,2,2,0,0,2103.54,2
105177.11,48,21.68,0,2,2,1,1,2191.1898,3
105177.12,66,31.7,0,1,2,0,0,1593.5927,2
105178.0,50,42.36,1,3,2,0,0,2103.56,2
105477.62,115,20.81,1,0,2,1,0,917.1967,1
106000.0,59,29.6,0,3,2,1,1,1796.6102,1
106080.33,76,36.84,1,3,2,1,0,1395.7938,1
106170.0,48,39.65,1,1,2,1,0,2211.875,1
106380.0,58,33.68,0,3,2,1,0,1834.1379,1
106705.0,64,36.4,0,1,2,0,0,1667.2656,2
107233.0,60,40.88,1,3,2,1,0,1787.2167,1
